Stock,Shareholder Name,Category,Net Worth
HDFCBANK,Government Of Singapore,FIIs,"Rs 197,181.8 Cr"
HDFCBANK,Government Pension Fund Global,FIIs,"Rs 146,477.7 Cr"
HDFCBANK,Vanguard Total International Stock Index Fund,FIIs,"Rs 53,350.7 Cr"
HDFCBANK,Sbi Nifty 50 Etf,DIIs,"Rs 204,798.5 Cr"
HDFCBANK,Life Insurance Corporation Of India,DIIs,"Rs 550,165.1 Cr"
HDFCBANK,Lici Asm Non Par,DIIs,"Rs 17,749.1 Cr"
HDFCBANK,Icici Prudential Large Cap Fund,DIIs,"Rs 72,446.1 Cr"
HDFCBANK,Icici Prudential Value Discovery Fund,DIIs,"Rs 17,999.0 Cr"
HDFCBANK,Hdfc Trustee Company Limited-Hdfc Flexi Cap Fund,DIIs,"Rs 71,273.2 Cr"
HDFCBANK,Icici Prudential Bluechip Fund,DIIs,"Rs 1,293.5 Cr"
HDFCBANK,Uti Nifty 50 Etf,DIIs,"Rs 44,481.9 Cr"
HDFCBANK,Hdfc Trustee Company Ltd. A/C Hdfc Balanced Advantage Fund,DIIs,"Rs 17,503.3 Cr"
HDFCBANK,Icici Prudential Balanced Advantage Fund,DIIs,"Rs 19,728.5 Cr"
INFY,Sudha Gopalakrishnan,Promoters,"Rs 14,036.3 Cr"
INFY,Rohan Murty,Promoters,"Rs 9,131.3 Cr"
INFY,Nandan M Nilekani,Promoters,"Rs 5,976.4 Cr"
INFY,Akshata Murty,Promoters,"Rs 5,708.8 Cr"
INFY,Asha Dinesh,Promoters,"Rs 5,674.1 Cr"
INFY,Sudha N Murty,Promoters,"Rs 5,063.0 Cr"
INFY,Rohini Nilekani,Promoters,"Rs 5,031.5 Cr"
INFY,S Gopalakrishnan,Promoters,"Rs 22,116.6 Cr"
INFY,Dinesh Krishnaswamy,Promoters,"Rs 4,759.6 Cr"
INFY,Shreyas Shibulal,Promoters,"Rs 2,920.5 Cr"
INFY,Narayana Murthy,Promoters,"Rs 2,480.2 Cr"
INFY,Meghana Gopalakrishnan,Promoters,"Rs 2,173.9 Cr"
INFY,Nihar Nilekani,Promoters,"Rs 2,136.5 Cr"
INFY,Gaurav Manchanda,Promoters,Rs 846.0 Cr
INFY,Janhavi Nilekani,Promoters,"Rs 1,258.7 Cr"
INFY,Deeksha Dinesh,Promoters,"Rs 1,120.5 Cr"
INFY,Divya Dinesh,Promoters,"Rs 1,120.5 Cr"
INFY,Milan Shibulal Manchanda,Promoters,Rs 894.8 Cr
INFY,Nikita Shibulal Manchanda,Promoters,Rs 894.8 Cr
INFY,Bhairavi Madhusudhan Shibulal,Promoters,Rs 795.4 Cr
INFY,S D Shibulal,Promoters,"Rs 3,348.3 Cr"
INFY,Kumari Shibulal,Promoters,Rs 724.8 Cr
INFY,Shruti Shibulal,Promoters,"Rs 1,275.7 Cr"
INFY,Tanush Nilekani Chandra,Promoters,Rs 491.8 Cr
INFY,Ekagrah Rohan Murty,Promoters,Rs 219.8 Cr
INFY,Shray Chandra,Promoters,Rs 105.4 Cr
INFY,Government Of Singapore,FIIs,"Rs 197,176.4 Cr"
INFY,Government Pension Fund Global,FIIs,"Rs 146,470.2 Cr"
INFY,Vanguard Total International Stock Index Fund,FIIs,"Rs 53,346.4 Cr"
INFY,Vanguard Emerging Markets Stock Index Fund,FIIs,"Rs 11,427.6 Cr"
INFY,Life Insurance Corporation Of India - Ulif00220091,DIIs,"Rs 60,492.9 Cr"
INFY,Life Insurance Corporation of India,DIIs,"Rs 550,176.9 Cr"
INFY,Sbi Mutual Fund,DIIs,"Rs 296,182.5 Cr"
INFY,Icici Prudential Mutual Fund,DIIs,"Rs 196,626.0 Cr"
INFY,National Pension System Trust,DIIs,"Rs 19,409.2 Cr"
INFY,Uti Mutual Fund,DIIs,"Rs 57,516.2 Cr"
INFY,Hdfc Mutual Fund,DIIs,"Rs 208,869.2 Cr"
INFY,Nippon Life India Trustee,DIIs,"Rs 67,464.4 Cr"
INFY,Sbi Life Insurance Co. Ltd,DIIs,"Rs 52,290.1 Cr"
INFY,Icici Prudential Life Insurance Company Limited,DIIs,"Rs 18,771.9 Cr"
INFY,Aditya Birla Sun Life Trustee,DIIs,"Rs 42,417.4 Cr"
INFY,Aditya Birla Sun Life Mutual Fund,DIIs,"Rs 17,581.5 Cr"
INFY,Deutsche Bank Trust Company Americas,Others,"Rs 53,979.6 Cr"
RELIANCE,Srichakra Commercials LLP,Promoters,"Rs 241,361.0 Cr"
RELIANCE,Devarshi Commercials LLP,Promoters,"Rs 178,041.1 Cr"
RELIANCE,Karuna Commercials LLP,Promoters,"Rs 178,041.1 Cr"
RELIANCE,Tattvam Enterprises LLP,Promoters,"Rs 178,041.1 Cr"
RELIANCE,Reliance Industries Holding Private Ltd,Promoters,"Rs 95,847.1 Cr"
RELIANCE,Reliance Industrial Investments and Holdings Limited,Promoters,"Rs 71,458.6 Cr"
RELIANCE,Samarjit Enterprises LLP,Promoters,"Rs 40,676.4 Cr"
RELIANCE,K D Ambani,Promoters,"Rs 7,775.0 Cr"
RELIANCE,Shreeji Comtrade LLP,Promoters,"Rs 4,679.8 Cr"
RELIANCE,Shrikrishna Tradecom LLP,Promoters,"Rs 4,679.8 Cr"
RELIANCE,Svar Enterprises LLP,Promoters,"Rs 4,435.4 Cr"
RELIANCE,Mukesh D Ambani,Promoters,"Rs 2,628.1 Cr"
RELIANCE,Nita M Ambani,Promoters,"Rs 2,628.1 Cr"
RELIANCE,Isha M Ambani,Promoters,"Rs 2,628.1 Cr"
RELIANCE,Akash M Ambani,Promoters,"Rs 2,628.1 Cr"
RELIANCE,Anant M Ambani,Promoters,"Rs 2,628.1 Cr"
RELIANCE,Reliance Welfare Association,Promoters,"Rs 1,744.6 Cr"
RELIANCE,Vasuprada Enterprises LLP,Promoters,Rs 429.5 Cr
RELIANCE,Exotic Officeinfra Private Limited,Promoters,Rs 9.0 Cr
RELIANCE,Carat Holdings and Trading Co Pvt Ltd,Promoters,Rs 3.6 Cr
RELIANCE,Jamnagar Utilities and Power Private Limited,Promoters,"Rs 3,830.2 Cr"
RELIANCE,Europacific Growth Fund,FIIs,"Rs 5,034.8 Cr"
RELIANCE,Government of Singapore,FIIs,"Rs 197,319.8 Cr"
RELIANCE,Life Insurance Corporation of India,DIIs,"Rs 550,460.8 Cr"
RELIANCE,SBI Mutual Funds,DIIs,"Rs 76,225.3 Cr"
RELIANCE,ICICI Prudential Mutual Funds,DIIs,"Rs 47,312.7 Cr"
RELIANCE,NPS Trust,DIIs,"Rs 277,814.5 Cr"
TCS,Tata Sons Private Limited,Promoters,"Rs 1,185,658.0 Cr"
TCS,Tata Investment Corporation Limited,Promoters,"Rs 13,813.6 Cr"
TCS,Panatone Finvest Limited,Promoters,"Rs 28,949.5 Cr"
TCS,The Indian Hotels Company Limited,Promoters,"Rs 2,277.6 Cr"
TCS,Tata Chemicals Limited,Promoters,"Rs 9,374.7 Cr"
TCS,Tata Industries Limited,Promoters,"Rs 3,447.3 Cr"
TCS,Tata Capital Limited,Promoters,Rs 503.1 Cr
TCS,Tata Consumer Products Limited,Promoters,Rs 11.4 Cr
TCS,Voltas Limited,Promoters,Rs 971.9 Cr
TCS,The Tata Power Company Limited,Promoters,"Rs 1,737.9 Cr"
TCS,Titan Company Limited,Promoters,Rs 4.4 Cr
TCS,Tata Steel Limited,Promoters,"Rs 1,976.6 Cr"
TCS,Tata Projects Limited,Promoters,Rs 452.5 Cr
TCS,Tata Motors Limited,Promoters,"Rs 16,584.7 Cr"
TCS,Tata Autocomp Systems Limited,Promoters,Rs 599.9 Cr
TCS,Ewart Investments Limited,Promoters,"Rs 3,629.7 Cr"
TCS,Simto Investment Company Limited,Promoters,Rs 2.4 Cr
TCS,Trent Limited,Promoters,Rs 3.7 Cr
TCS,Tata Teleservices Limited,Promoters,"Rs 5,132.5 Cr"
TCS,Tata Limited,Promoters,"Rs 1,245,325.6 Cr"
TCS,Tata Pension Management Fund Private Limited,Promoters,"Rs 2,531.7 Cr"
TCS,Air India Limited,Promoters,Rs 7.3 Cr
TCS,TS Investments Limited,Promoters,"Rs 106,576.5 Cr"
TCS,LIC of India,DIIs,"Rs 74,303.0 Cr"
TCS,Life Insurance Corporation of India,DIIs,"Rs 550,731.1 Cr"
TCS,Sbi Nifty 50 Etf,DIIs,"Rs 205,156.2 Cr"
TCS,ICICI Prudential Value Fund,DIIs,"Rs 60,338.5 Cr"
ICICIBANK,Government Of Singapore,FIIs,"Rs 197,393.9 Cr"
ICICIBANK,Government Pension Fund Global,FIIs,"Rs 146,486.1 Cr"
ICICIBANK,Dodge And Cox International Stock Fund,FIIs,"Rs 9,577.8 Cr"
ICICIBANK,Europacific Growth Fund,FIIs,"Rs 5,047.3 Cr"
ICICIBANK,Vanguard Total International Stock Index Fund,FIIs,"Rs 53,368.8 Cr"
ICICIBANK,Life Insurance Corporation Of India,DIIs,"Rs 550,737.4 Cr"
ICICIBANK,Sbi Mutual Fund,DIIs,"Rs 296,407.2 Cr"
ICICIBANK,Icici Prudential Mutual Fund,DIIs,"Rs 196,678.1 Cr"
ICICIBANK,Hdfc Mutual Fund,DIIs,"Rs 209,292.4 Cr"
ICICIBANK,Nps Trust,DIIs,"Rs 277,889.3 Cr"
ICICIBANK,Uti Mutual Fund,DIIs,"Rs 57,562.2 Cr"
ICICIBANK,Nippon Life India Mutual Fund,DIIs,"Rs 43,980.3 Cr"
ICICIBANK,Kotak Mahindra Mutual Fund,DIIs,"Rs 5,106.8 Cr"
ICICIBANK,Sbi Life Insurance Company Limited,DIIs,"Rs 17,503.1 Cr"
ICICIBANK,Aditya Birla Sun Life Mutual Fund,DIIs,"Rs 17,595.3 Cr"
ICICIBANK,Kotak Mutual Fund,DIIs,"Rs 36,329.0 Cr"
ICICIBANK,Mirae Asset Mutual Fund,DIIs,"Rs 7,997.1 Cr"
ICICIBANK,Axis Mutual Fund,DIIs,"Rs 91,150.7 Cr"
ITC,Tobacco Manufacturers (India) Limited,FIIs,"Rs 95,730.8 Cr"
ITC,Myddleton Investment Company Limited,FIIs,"Rs 20,670.3 Cr"
ITC,GQG Partners Emerging Markets Equity Fund,FIIs,"Rs 38,633.4 Cr"
ITC,Rothmans International Enterprises Limited,FIIs,"Rs 6,282.8 Cr"
ITC,Government of Singapore,FIIs,"Rs 197,386.5 Cr"
ITC,Life Insurance Corporation of India,DIIs,"Rs 550,737.4 Cr"
ITC,Specified Undertaking of the Unit Trust of India,DIIs,"Rs 42,691.4 Cr"
ITC,SBI Mutual Funds,DIIs,"Rs 76,164.4 Cr"
ITC,ICICI Prudential Mutual Funds,DIIs,"Rs 47,256.9 Cr"
ITC,General Insurance Corporation of India,DIIs,"Rs 23,438.4 Cr"
ITC,NPS Trust (various Pension Funds),DIIs,"Rs 7,987.7 Cr"
ITC,The New India Assurance Company Limited,DIIs,"Rs 10,730.8 Cr"
ITC,SBI Nifty 50 ETF,DIIs,"Rs 205,175.6 Cr"
ITC,UTI Mutual Funds,DIIs,"Rs 7,146.2 Cr"
ITC,Nippon Life India Trustee Mutual Funds,DIIs,"Rs 7,434.3 Cr"
ITC,HDFC Mutual Funds,DIIs,"Rs 3,602.4 Cr"
ITC,The Oriental Insurance Company Limited,DIIs,Rs 118.9 Cr
ITC,Parag Parikh Flexi Cap Mutual Funds,DIIs,"Rs 5,903.1 Cr"
ITC,Mirae Asset Mutual Funds,DIIs,"Rs 6,772.7 Cr"
SBIN,President Of India,Promoters,"Rs 4,306,133.3 Cr"
SBIN,Government Of Singapore,FIIs,"Rs 197,386.7 Cr"
SBIN,Life Insurance Corporation Of India,DIIs,"Rs 550,715.5 Cr"
SBIN,Sbi Mutual Fund Schemes,DIIs,"Rs 33,736.6 Cr"
SBIN,Icici Mutual Fund Schemes,DIIs,"Rs 27,658.9 Cr"
SBIN,Hdfc Mutual Fund Schemes,DIIs,"Rs 35,236.7 Cr"
SBIN,Icici Prudential Value Discovery Fund,DIIs,"Rs 18,029.2 Cr"
SBIN,Nps Trust Schemes,DIIs,"Rs 32,802.5 Cr"
SBIN,Icici Prudential Mutual Fund Schemes,DIIs,"Rs 11,781.4 Cr"
SBIN,Nippon Life India Mutual Fund Schemes,DIIs,"Rs 16,317.6 Cr"
SBIN,Kotak Mutual Fund Schemes,DIIs,"Rs 13,284.4 Cr"
LT,Government Of Singapore - E,FIIs,"Rs 39,496.6 Cr"
LT,Life Insurance Corporation Of India,DIIs,"Rs 550,775.1 Cr"
LT,Lici Life Non-Par,DIIs,Rs 202.6 Cr
LT,Sbi Esg Exclusionary Strategy Fund,DIIs,"Rs 49,897.7 Cr"
LT,Sbi Arbitrage Opportunities Fund,DIIs,"Rs 26,396.7 Cr"
LT,Sbi Long Term Advantage Fund - Series V,DIIs,Rs 570.3 Cr
LT,Sbi Nifty 50 Equal Weight Index Fund,DIIs,"Rs 18,457.2 Cr"
LT,Sbi Retirement Benefit Fund - Aggressive Plan,DIIs,"Rs 1,796.6 Cr"
LT,Icici Prudential Sensex Etf,DIIs,"Rs 7,096.1 Cr"
LT,Bharat 22 Etf,DIIs,"Rs 28,722.0 Cr"
LT,Icici Prudential Nifty50 Equal Weight Index Fund,DIIs,"Rs 6,241.2 Cr"
LT,Icici Prudential Regular Savings Fund,DIIs,"Rs 26,248.0 Cr"
LT,Icici Prudential Nifty Etf,DIIs,"Rs 8,994.1 Cr"
LT,Nps Trust A/C Uti Pension Fund Limited-Scheme Cent,DIIs,"Rs 13,027.5 Cr"
LT,Nps Trust A/C - Sbi Pension Fund - Ups - Cg Schem,DIIs,"Rs 8,560.3 Cr"
LT,Hdfc Mutual Fund - Hdfc Manufacturing Fund,DIIs,"Rs 7,030.0 Cr"
LT,Nps Trust- A/C Sbi Pension Fund Scheme,DIIs,"Rs 35,843.5 Cr"
LT,Hdfc Mutual Fund - Hdfc Retirement Savings Fund -,DIIs,"Rs 1,174.6 Cr"
LT,Nps Trust- A/C Lic Pension Fund Schem,DIIs,"Rs 3,547.2 Cr"
LT,Hdfc Trustee Company Ltd. A/C Hdfc Multi-Asset Fund,DIIs,Rs 254.7 Cr
LT,Hdfc Large And Mid Cap Fund,DIIs,"Rs 10,589.1 Cr"
LT,Hdfc Mutual Fund-Hdfc Arbitrage Fund,DIIs,"Rs 8,166.5 Cr"
LT,Hdfc Mutual Fund - Hdfc Dividend Yield Fund,DIIs,"Rs 2,914.6 Cr"
LT,Hdfc Mutual Fund - Hdfc Bse 500 Etf,DIIs,"Rs 20,887.6 Cr"
LT,Hdfc Mutual Fund-Hdfc Hybrid Debt Fund,DIIs,Rs 265.9 Cr
LT,General Insurance Corporation Of India,DIIs,"Rs 23,484.2 Cr"
LT,Nippon Life India Trustee Ltd- A/C Nippon India Vi,DIIs,"Rs 8,841.7 Cr"
LT,Uti Nifty 50 Index Fund,DIIs,"Rs 11,543.4 Cr"
LT,Icici Prudential Life Insurance Company Limited,DIIs,"Rs 18,852.5 Cr"
LT,Sbi Life Insurance Co. Ltd,DIIs,"Rs 52,498.7 Cr"
LT,Kotak Flexicap Fund,DIIs,"Rs 37,443.1 Cr"
AXISBANK,Life Insurance Corporation Of India,Promoters,"Rs 551,452.5 Cr"
AXISBANK,IDBI Bank Ltd,Promoters,"Rs 3,213.4 Cr"
AXISBANK,Dodge And Cox International Stock Fund,FIIs,"Rs 9,573.6 Cr"
AXISBANK,Government Of Singapore,FIIs,"Rs 197,679.0 Cr"
AXISBANK,Government Pension Fund Global,FIIs,"Rs 146,685.7 Cr"
AXISBANK,Vanguard Total International Stock Index Fund,FIIs,"Rs 53,478.3 Cr"
AXISBANK,"Vanguard Emerging Markets Stock Index Fund, A Seri",FIIs,"Rs 3,259.9 Cr"
AXISBANK,ICICI PRUDENTIAL - Through its various Schemes,DIIs,"Rs 25,922.6 Cr"
AXISBANK,HDFC - Through its various Schemes,DIIs,"Rs 19,306.5 Cr"
AXISBANK,SBI - Through its various Schemes,DIIs,"Rs 19,375.4 Cr"
AXISBANK,Icici Prudential Nifty 50 Index Fund,DIIs,"Rs 10,964.1 Cr"
AXISBANK,NIPPON- Through its various Schemes,DIIs,"Rs 11,873.8 Cr"
AXISBANK,Icici Prudential Nifty50 Equal Weight Index Fund,DIIs,"Rs 6,246.3 Cr"
AXISBANK,Hdfc Mutual Fund-Hdfc Arbitrage Fund,DIIs,"Rs 8,182.2 Cr"
AXISBANK,NPS TRUST - Through its various Schemes,DIIs,"Rs 9,344.7 Cr"
AXISBANK,Nps Trust- A/C Sbi Pension Fund Scheme E - Tier I,DIIs,"Rs 9,156.5 Cr"
AXISBANK,Nps Trust-A/C Sbi Pension Fund Scheme Tax Saver-Ti,DIIs,"Rs 6,863.3 Cr"
AXISBANK,Hdfc Mutual Fund - Hdfc Banking And Financial Serv,DIIs,"Rs 1,777.4 Cr"
AXISBANK,UTI - Through its various Schemes,DIIs,"Rs 6,895.3 Cr"
AXISBANK,Mirae Asset Flexi Cap Fund,DIIs,Rs 44.9 Cr
AXISBANK,Nippon Life India Trustee Ltd-A/C Nippon India Nif,DIIs,"Rs 51,384.8 Cr"
AXISBANK,KOTAK - Through its various Schemes,DIIs,"Rs 6,660.6 Cr"
AXISBANK,Mirae Asset Tax Saver Fund,DIIs,"Rs 3,377.9 Cr"
AXISBANK,MIRAE ASSET - Through its various Schemes,DIIs,"Rs 5,823.1 Cr"
AXISBANK,Uti Nifty Index Fund,DIIs,"Rs 16,933.7 Cr"
AXISBANK,Mirae Asset Arbitrage Fund,DIIs,"Rs 1,784.6 Cr"
AXISBANK,ADITYA BIRLA - Through its various Schemes,DIIs,"Rs 5,010.1 Cr"
AXISBANK,Aditya Birla Sun Life Trustee Private Limited A/C,DIIs,"Rs 38,462.8 Cr"
AXISBANK,PARAG PARIKH - Through its various Schemes,DIIs,"Rs 4,410.1 Cr"
AXISBANK,Sbi Life Insurance Company Limited,DIIs,"Rs 17,526.6 Cr"
AXISBANK,DSP - Through its various Schemes,DIIs,"Rs 4,382.2 Cr"
